region,year,service_type,service_level,total,rural,urban
Oceania,2011,Sanitation,At least basic,33.66098,21.7364,73.62856
Oceania,2011,Drinking water,At least basic,53.24876,41.84321,91.47668
Oceania,2012,Sanitation,At least basic,33.16619,21.18909,73.33922
Oceania,2012,Drinking water,At least basic,53.52049,42.15754,91.63355
Oceania,2013,Sanitation,At least basic,32.67377,20.65084,73.02335
Oceania,2013,Drinking water,At least basic,53.80662,42.49025,91.7849
Oceania,2014,Sanitation,At least basic,32.18595,20.11213,72.70097
Oceania,2014,Drinking water,At least basic,54.10693,42.8336,91.9358
Oceania,2015,Sanitation,At least basic,31.70346,19.56838,72.38758
Oceania,2015,Drinking water,At least basic,54.41835,43.18543,92.0779
Oceania,2016,Sanitation,At least basic,31.18076,18.97805,72.02477
Oceania,2016,Drinking water,At least basic,54.73954,43.546,92.20572
Oceania,2017,Sanitation,At least basic,30.30281,18.28266,70.44075
Oceania,2017,Drinking water,At least basic,55.06519,43.90839,92.32025
Sub-Saharan Africa,2000,Sanitation,Safely managed service,14.84908,13.76111,17.22414
Sub-Saharan Africa,2000,Drinking water,Safely managed service,17.74063,6.4948,42.29032
Sub-Saharan Africa,2001,Sanitation,Safely managed service,15.13147,13.969,17.61821
Sub-Saharan Africa,2001,Drinking water,Safely managed service,18.02224,6.63274,42.38657
Sub-Saharan Africa,2002,Sanitation,Safely managed service,15.45254,14.23058,18.01274
Sub-Saharan Africa,2002,Drinking water,Safely managed service,18.39422,6.81077,42.66343
Sub-Saharan Africa,2003,Sanitation,Safely managed service,15.66514,14.45419,18.14994
Sub-Saharan Africa,2003,Drinking water,Safely managed service,18.76632,6.99463,42.92126
Sub-Saharan Africa,2004,Sanitation,Safely managed service,15.86692,14.66886,18.27442
Sub-Saharan Africa,2004,Drinking water,Safely managed service,19.19169,7.19774,43.29375
Sub-Saharan Africa,2005,Sanitation,Safely managed service,16.0783,14.89404,18.40804
Sub-Saharan Africa,2005,Drinking water,Safely managed service,19.64151,7.41665,43.69106
Sub-Saharan Africa,2006,Sanitation,Safely managed service,16.30415,15.13298,18.56063
Sub-Saharan Africa,2006,Drinking water,Safely managed service,20.13699,7.68336,44.1313
Sub-Saharan Africa,2007,Sanitation,Safely managed service,16.52257,15.36713,18.70739
Sub-Saharan Africa,2007,Drinking water,Safely managed service,20.63515,7.97012,44.58349
Sub-Saharan Africa,2008,Sanitation,Safely managed service,16.76177,15.61937,18.87363
Sub-Saharan Africa,2008,Drinking water,Safely managed service,21.18541,8.27884,45.04472
Sub-Saharan Africa,2009,Sanitation,Safely managed service,16.96998,15.8615,18.97325
Sub-Saharan Africa,2009,Drinking water,Safely managed service,21.75733,8.60261,45.53076
Sub-Saharan Africa,2010,Sanitation,Safely managed service,17.18347,16.104,19.09016
Sub-Saharan Africa,2010,Drinking water,Safely managed service,22.35453,8.94185,46.04577
Sub-Saharan Africa,2011,Sanitation,Safely managed service,17.27013,16.1669,19.17449
Sub-Saharan Africa,2011,Drinking water,Safely managed service,22.80986,9.17167,46.35154
Sub-Saharan Africa,2012,Sanitation,Safely managed service,17.46509,16.38177,19.29376
Sub-Saharan Africa,2012,Drinking water,Safely managed service,23.44126,9.53598,46.91349
Sub-Saharan Africa,2013,Sanitation,Safely managed service,17.65571,16.5955,19.406
Sub-Saharan Africa,2013,Drinking water,Safely managed service,24.09332,9.91602,47.49829
Sub-Saharan Africa,2014,Sanitation,Safely managed service,17.8451,16.80834,19.51896
Sub-Saharan Africa,2014,Drinking water,Safely managed service,24.76436,10.31039,48.10042
Sub-Saharan Africa,2015,Sanitation,Safely managed service,18.03221,17.01825,19.63319
Sub-Saharan Africa,2015,Drinking water,Safely managed service,25.44983,10.7182,48.7101
Sub-Saharan Africa,2016,Sanitation,Safely managed service,18.21654,17.22695,19.74464
Sub-Saharan Africa,2016,Drinking water,Safely managed service,26.14958,11.13937,49.32817
Sub-Saharan Africa,2017,Sanitation,Safely managed service,18.44532,17.51775,19.84614
Sub-Saharan Africa,2017,Drinking water,Safely managed service,26.92316,11.61409,50.04317
